article_no,title,url,date,,label (현),label (준환),label (성훈),"카테고리 몇개, 뭐로 할지 정하기: 장학, 졸업, 학사",,,
136009,학사학위취득유예 신청 일정 안내(2025년 8월 졸업대상자),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=136009&article.offset=100&articleLimit=10,2025.04.28,졸업,졸업,졸업,졸업,,,,
135997,2025년도 1학기 사회봉사활동 실적 등록 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=135997&article.offset=100&articleLimit=10,2025.04.28,장학/근로,장학,장학,봉사,장학?,,,
135993,"[대학교육혁신사업단] 25학년도 1학기 기초학습역량강화(수리,논리) 프로그램 참여모집",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=135993&article.offset=100&articleLimit=10,2025.04.28,학생활동,학생활동,학생활동,교육,,,,
134631,[필독] 출석인정승인서 제출 시 주관학과 확인 방법,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=134631&article.offset=110&articleLimit=10,2025.04.17,학사,학사,학사,학사,,,,
134537,[홍익대학교(서울캠퍼스)] 2025 하계 국제사회봉사단 모집 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=134537&article.offset=110&articleLimit=10,2025.04.16,학생활동,학생활동,학생활동,봉사,,,,
134492,📚2025 바이오헬스 청소년∙대학생 연합 부트 캠프: 유스랩(lab)🧬,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=134492&article.offset=110&articleLimit=10,2025.04.14,학생활동,학생활동,학생활동,교육,,,,
134445,졸업프로젝트 경비 지원 안내 : 2025년 1학기 졸업프로젝트 수업 수강생,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=134445&article.offset=110&articleLimit=10,2025.04.11,졸업,졸업,졸업,졸업,,,,
134236,이장호 교수님 학부연구생 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=134236&article.offset=110&articleLimit=10,2025.04.03,대학원/연구,대학원/연구,취업/인턴,대학원/연구,,,,
134175,[대학혁신지원사업] 2025-1학기 <학습전략강화워크숍> 참여자 학생 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=134175&article.offset=110&articleLimit=10,2025.04.02,학생활동,학생활동,학생활동,교육,,,,
133894,2025년 하반기 「ICT 학점연계 프로젝트 인턴십」 글로벌 과정 참여 학생 모집 (~3/28),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133894&article.offset=110&articleLimit=10,2025.03.26,취업/인턴,취업/인턴,학생활동,취업/인턴,,,,
133768,[필독] 지도교수 또는 학과장님 날인이 필요한 경우 처리 절차 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133768&article.offset=110&articleLimit=10,2025.03.24,학사,학사,학사,학사,,,,
133765,25 SXSW 컨퍼런스 동향분석 공개 발표회,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133765&article.offset=110&articleLimit=10,2025.03.24,학생활동,학생활동,학생활동,교육,,,,
133723,[필독] 타학과 주관 강의실 대여 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133723&article.offset=110&articleLimit=10,2025.03.21,학사,학사,학사,행정,,,,
133722,[필독] 학과 공식 메일 변경 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133722&article.offset=120&articleLimit=10,2025.03.21,학사,학사,학사,행정,,,,
133706,[홍익대학교 바이오헬스 사업단] 📚바이오헬스 연사초청 강연🧬,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133706&article.offset=120&articleLimit=10,2025.03.20,학생활동,학생활동,학생활동,교육,,,,
133704,[홍익대학교 바이오헬스 사업단] 📚2025 바이오헬스 청소년∙대학생 연합 부트캠프: 유스랩(lab)🧬,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133704&article.offset=120&articleLimit=10,2025.03.20,학생활동,학생활동,학생활동,교육,,,,
133604,졸업생 Q&A,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133604&article.offset=120&articleLimit=10,2025.03.19,졸업,졸업,졸업,졸업,,,,
133538,AIS Lab 학부연구원 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133538&article.offset=120&articleLimit=10,2025.03.18,대학원/연구,대학원/연구,취업/인턴,대학원/연구,,,,
133473,APL 석사학위논문 제안 공개발표평가회 (Badalov Khusrav),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133473&article.offset=120&articleLimit=10,2025.03.17,학생활동,학생활동,학생활동,대학원/연구,,,,
133287,2025-1학기 학습튜터링 프로그램 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133287&article.offset=120&articleLimit=10,2025.03.12,학생활동,학생활동,학생활동,교육,장학?,,,
133250,2025학년도 1학기 지도교수 배정 및 면담 시간 확인,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133250&article.offset=120&articleLimit=10,2025.03.12,학사,학사,학사,학사,,,,
133192,"2025-2학기 Linux 실습 서버 이용 안내 (C-프로그래밍-이장호PF, 프로그래밍언어론-송하윤PF, 컴퓨터네트워크-박준상PF)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133192&article.offset=120&articleLimit=10,2025.03.10,학사,학사,학사,학사,,,,
133086,학과 사무실 봉사도우미 모집 (3월 14일까지),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=133086&article.offset=120&articleLimit=10,2025.03.07,장학/근로,장학,장학,근로,,,,
132607,글로벌CT인재양성 사업 참여 석사과정 학생 모집 (캐나다 연수 프로그램 파견 포함),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=132607&article.offset=130&articleLimit=10,2025.02.26,대학원/연구,대학원/연구,학생활동,대학원/연구,,,,
132501,25-1 졸업프로젝트 1 분반배정결과 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=132501&article.offset=130&articleLimit=10,2025.02.24,졸업,졸업,졸업,졸업,,,,
132319,[4학년 필독] 졸업프로젝트1 수강신청 FAQ,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=132319&article.offset=130&articleLimit=10,2025.02.20,졸업,졸업,졸업,졸업,,,,
132276,졸업프로젝트2 분반배정 결과,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=132276&article.offset=130&articleLimit=10,2025.02.19,졸업,졸업,졸업,졸업,,,,
131902,[필독] 2025-1학기 및 2025-2학기 컴퓨터공학과 교내장학생 선발 기준 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=131902&article.offset=130&articleLimit=10,2025.02.13,장학/근로,장학,장학,장학,,,,
131695,"25-1학기 졸업프로젝트(창직, AIML) 2 수강신청 안내(~2/16 일23:59)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=131695&article.offset=130&articleLimit=10,2025.02.11,졸업,졸업,졸업,졸업,,,,
131685,2024학년도 제75회 전기 학위수여식 참석 안내(컴퓨터공학과),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=131685&article.offset=130&articleLimit=10,2025.02.11,졸업,졸업,졸업,졸업,,,,
131630,컴퓨터공학과 2025년 1학기 기자재 대여 및 반납 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=131630&article.offset=130&articleLimit=10,2025.02.10,학사,학사,학사,행정,,,,
131538,2025학년도 「교직과정 이수신청서」 접수 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=131538&article.offset=130&articleLimit=10,2025.02.07,학사,학사,기타,학사,,,,
130862,"25학년도 1학기 입학, 편입, 재입학, 복학생 중 예비군편성 대상자 학생예비군 전입신고 홍보",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=130862&article.offset=130&articleLimit=10,2025.01.15,기타,학사,기타,기타,,,,
129303,"AWS 클라우드 서버 및 Soraris 서버 운영 정지 안내(졸프서버 포함, 25/01/13까지 백업할 것)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=129303&article.offset=140&articleLimit=10,2025.01.06,학사,학사,학사,학사,,,,
129290,"2025학년도 1학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=129290&article.offset=140&articleLimit=10,2025.01.06,학사,학사,학사,학사,,,,
129288,"2025학년도 1학기 주전공 신청 및 변경,   자율전공 학생의 학과진입 신청 안내 (서울캠퍼스)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=129288&article.offset=140&articleLimit=10,2025.01.06,학사,학사,학사,학사,,,,
129245,2025년 상반기 [ICT학점연계 프로젝트 인턴십] 글로벌 과정 참여 학생 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=129245&article.offset=140&articleLimit=10,2025.01.03,취업/인턴,취업/인턴,취업/인턴,취업/인턴,,,,
129214,컴퓨터공학과 국제학술대회 2024 ICONI Outstanding Paper Award 수상,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=129214&article.offset=140&articleLimit=10,2025.01.02,대회/공모전,대회·공모전,대회/공모전,대회/공모전,,,,
128908,2025년 컴퓨터공학과 학년별 카카오톡 공지방 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=128908&article.offset=140&articleLimit=10,2024.12.24,학사,학사,학사,행정,,,,
128828,2024학년도 전기(2025년 2월) 졸업예정자  부전공 및 융합전공 졸업 자격취득 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=128828&article.offset=140&articleLimit=10,2024.12.23,졸업,졸업,졸업,졸업,,,,
128812,동계 계절학기 수업도우미 모집(~12/26 10:00),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=128812&article.offset=140&articleLimit=10,2024.12.23,장학/근로,장학,장학,근로,,,,
128149,[학사지원팀] 강의평가 및 성적조회 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=128149&article.offset=140&articleLimit=10,2024.12.10,학사,학사,학사,학사,,,,
127661,[도서관] 온라인 신문 잡지 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=127661&article.offset=140&articleLimit=10,2024.11.27,기타,기타,기타,행정,,,,
127598,2025년 2월 조기졸업 신청서 제출 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=127598&article.offset=150&articleLimit=10,2024.11.26,졸업,졸업,졸업,졸업,,,,
127469,[필독] 24-2 기말고사 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=127469&article.offset=150&articleLimit=10,2024.11.21,학사,학사,학사,학사,,,,
127462,2024학년도 2학기 졸업프로젝트 전시회 일정,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=127462&article.offset=150&articleLimit=10,2024.11.21,졸업,졸업,졸업,졸업,,,,
127453,[장학] 2024-2학기 교내 신용카드수수료장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=127453&article.offset=150&articleLimit=10,2024.11.21,장학/근로,장학,장학,장학,,,,
127433,[필독] 2024학년도 2학기 학생 포상 대상자 추천 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=127433&article.offset=150&articleLimit=10,2024.11.20,장학/근로,장학,장학,장학,,,,
125164,국가기술자격 출제기준 개정사항 안내 및 ICT자격 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=125164&article.offset=150&articleLimit=10,2024.11.11,기타,기타,기타,취업/인턴,,,,
121365,"컴퓨터공학과 AI/ML 및 실습 서버(자료구조, 프로그래밍 언어론 등) 사용 안내",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=121365&article.offset=150&articleLimit=10,2024.10.30,학사,학사,학사,학사,,,,
121340,2024학년도 전기(2025년 2월) 졸업예정자 전공명 선택 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=121340&article.offset=150&articleLimit=10,2024.10.30,졸업,졸업,졸업,졸업,,,,
121198,[필독] 2024학년도 2학기 사회봉사활동 실적 등록 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=121198&article.offset=150&articleLimit=10,2024.10.25,장학/근로,장학,장학,봉사,본문 장학,,,
121146,컴퓨터공학과 국제학술대회 2024 ICTC Best AI Paper 수상,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=121146&article.offset=150&articleLimit=10,2024.10.23,대회/공모전,대회·공모전,대회/공모전,대회/공모전,,,,
121100,홍익대학교(서울캠퍼스) 2024 동계 국제사회봉사단 모집 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=121100&article.offset=160&articleLimit=10,2024.10.22,학생활동,학생활동,학생활동,봉사,,,,
120765,컴퓨터공학과 노트북 보조배터리 대여에 관한 공지,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=120765&article.offset=160&articleLimit=10,2024.10.14,학사,학사,학사,행정,,,,
119405,제18회 공과대학 창의적 종합설계 경진대회 (10월 2일(수)),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=119405&article.offset=160&articleLimit=10,2024.09.30,대회/공모전,대회·공모전,대회/공모전,대회/공모전,,,,
117547,[필독] 24-2 중간고사 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=117547&article.offset=160&articleLimit=10,2024.09.20,학사,학사,학사,학사,,,,
117128,2024-2 수업도우미 모집(~9/23 기간연장 및 과목 추가),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=117128&article.offset=160&articleLimit=10,2024.09.10,장학/근로,장학,학생활동,근로,,,,
117105,2024-2학기 Linux 및 Solaris1 관련 실습 서버 이용 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=117105&article.offset=160&articleLimit=10,2024.09.10,학사,학사,학사,학사,,,,
116903,2024-2학기 [어셈블리언어및실습] 관련 Solaris1 서버 이용 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=116903&article.offset=160&articleLimit=10,2024.09.07,학사,학사,학사,학사,,,,
115339,2024 HI-CON 프로그래밍 경진대회 개최 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=115339&article.offset=160&articleLimit=10,2024.08.30,대회/공모전,대회·공모전,대회·공모전,대회/공모전,,,,
115336,컴퓨터공학과 24-2학기 기자재 대여 안내 ( 대여기간 안내),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=115336&article.offset=160&articleLimit=10,2024.08.30,학사,학사,학사,행정,,,,
115272,2024-2학기 학습튜터링 프로그램 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=115272&article.offset=160&articleLimit=10,2024.08.29,학생활동,학생활동,학생활동,교육,장학?,,,
114307,​특성화교양 및 SW/데이터활용역량인증 교과목 수강 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114307&article.offset=170&articleLimit=10,2024.08.26,학사,학사,학사,학사,,,,
114083,2024년 대학생을 위한 오픈소스SW라이선스 교육 안내(~8월 23일(금)),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114083&article.offset=170&articleLimit=10,2024.08.21,학생활동,학생활동,학생활동,교육,,,,
114089,[한국과학기술원(KAIST)] 제 11기 과학기술전문사관 후보생(학사) 모집(~9월 13일 (금) 18:00),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114089&article.offset=170&articleLimit=10,2024.08.21,기타,기타,학생활동,기타,취업?,,,
114093,24-2 졸업프로젝트1 분반배정결과 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114093&article.offset=170&articleLimit=10,2024.08.19,졸업,졸업,졸업,졸업,,,,
114092,홍익대학교 컴퓨터공학과 24-1학기 기자대 대여 안내(반납기간 연장),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114092&article.offset=170&articleLimit=10,2024.08.12,학사,학사,학사,행정,,,,
114090,"졸업가운(학위복) 대여, 졸업물품 배부 안내(서울캠퍼스)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114090&article.offset=170&articleLimit=10,2024.08.06,졸업,졸업,졸업,졸업,,,,
114088,"24-2학기 졸업프로젝트(창직, AIML) 1,2 수강신청 안내(~8/12 23:59)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114088&article.offset=170&articleLimit=10,2024.08.02,졸업,졸업,졸업,졸업,,,,
114084,[이윤규 & 김태형 교수님 연구실 (AIS Lab) 학부연구원 모집],https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114084&article.offset=170&articleLimit=10,2024.07.24,대학원/연구,대학원/연구,취업/인턴,대학원/연구,,,,
114086,2024학년도 2학기 학기재수강 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114086&article.offset=170&articleLimit=10,2024.07.15,학사,학사,학사,학사,,,,
114099,2024학년도 하계 대학혁신지원사업 교과연계 워크숍 운영 (7/10~7/16),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114099&article.offset=170&articleLimit=10,2024.07.11,학생활동,학생활동,학생활동,교육,,,,
114085,"2024학년도 2학기 복수전공, 부전공, 융합전공, 미세전공 신청",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114085&article.offset=180&articleLimit=10,2024.07.10,학사,학사,학사,학사,,,,
114087,2023학년도 후기(2024년 8월) 졸업예정자 전공명 선택 안내(2차),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114087&article.offset=180&articleLimit=10,2024.07.09,졸업,졸업,졸업,졸업,,,,
114082,[2024학년도 하계 군 복무 사회봉사 경력 학점 인정 안내] (7월 8일(월) ~ 7월 19일(금)),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114082&article.offset=180&articleLimit=10,2024.07.04,학사,학사,학사,봉사,,,,
114100,[홍익대학교] 의학분야 진로탐색 프로그램 III 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114100&article.offset=180&articleLimit=10,2024.06.19,학생활동,학생활동,학생활동,교육,,,,
114081,"[마감]하계 계절학기 수업도우미(그레이더, 실습도우미) 모집",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114081&article.offset=180&articleLimit=10,2024.06.18,장학/근로,장학,장학,근로,,,,
114098,학부연수생 모집공고 (~6/17까지),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114098&article.offset=180&articleLimit=10,2024.06.14,대학원/연구,대학원/연구,취업/인턴,대학원/연구,,,,
114096,2024-1학기 기자재 반납 기간 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114096&article.offset=180&articleLimit=10,2024.06.14,학사,학사,학사,행정,,,,
114097,2024년 8월 졸업예정자 「교원자격무시험검정원서」 접수,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114097&article.offset=180&articleLimit=10,2024.06.13,졸업,졸업,졸업,졸업,,,,
114095,2024학년도 2학기 주전공 신청 및 변경 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114095&article.offset=180&articleLimit=10,2024.06.12,학사,학사,학사,학사,,,,
114055,AWS 클라우드 서버 운영 정지 안내 (24/07/01까지 백업),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114055&article.offset=180&articleLimit=10,2024.06.07,학사,학사,학사,학사,,,,
114067,[필독] 2024-1학기 학생 포상 대상자 추천 의뢰,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114067&article.offset=190&articleLimit=10,2024.06.04,장학/근로,장학,장학,장학,,,,
114049,2023학년도 후기 졸업예정자 부전공 및 융합전공 자격 취득 신청,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114049&article.offset=190&articleLimit=10,2024.06.03,졸업,졸업,졸업,졸업,,,,
114048,NX 계절학기 운영 및 과목 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114048&article.offset=190&articleLimit=10,2024.06.03,학사,학사,학사,학사,,,,
114075,[필독] 2024학년도 제2기 대학(원)생 멘토링제 실시에 따른 교육봉사학생 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114075&article.offset=190&articleLimit=10,2024.05.29,학생활동,학생활동,학생활동,봉사,,,,
114061,2024년 8월 조기졸업 신청서 제출 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114061&article.offset=190&articleLimit=10,2024.05.28,졸업,졸업,졸업,졸업,,,,
114044,[필독] 2024학년도 1학기 졸업프로젝트 전시회 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114044&article.offset=190&articleLimit=10,2024.05.27,졸업,졸업,졸업,졸업,,,,
114073,[필독] 지도교수 면담 장려,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114073&article.offset=190&articleLimit=10,2024.05.22,학사,학사,학사,학사,,,,
114072,[필독] 2024학년도 2학기 교내장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114072&article.offset=190&articleLimit=10,2024.05.22,장학/근로,장학,장학,장학,,,,
114070,2024-1 졸업앨범 사진 촬영안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114070&article.offset=190&articleLimit=10,2024.05.22,졸업,졸업,졸업,졸업,,,,
114043,[서울대학교 융합과학기술대학원] 2024학년도 하계 융합연구프로그램,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114043&article.offset=190&articleLimit=10,2024.05.14,대학원/연구,대학원/연구,학생활동,대학원/연구,,,,
114078,[특강] 디지털포렌식 전문가 초청 특강,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114078&article.offset=200&articleLimit=10,2024.05.13,학생활동,학생활동,학생활동,교육,,,,
114060,"[대학교육혁신사업단] 해외공모전, 박람회, 전시회 참가지원 계획 공고",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114060&article.offset=200&articleLimit=10,2024.05.10,대회/공모전,대회·공모전,학생활동,대회/공모전,,,,
114077,2024학년도 하계 국제사회봉사단 참가자 모집 홍보 및 추천 의뢰,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114077&article.offset=200&articleLimit=10,2024.05.08,학생활동,학생활동,학생활동,봉사,,,,
114059,[필독] 2024학년도 1학기 강의평가 시행 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114059&article.offset=200&articleLimit=10,2024.05.08,학사,학사,학사,학사,,,,
114058,[국세청] 국세통계센터 단체 견학 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114058&article.offset=200&articleLimit=10,2024.05.08,학생활동,학생활동,학생활동,교육,,,,
114074,[필독] 2024학년도 1학기 교내 신용카드수수료장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114074&article.offset=200&articleLimit=10,2024.05.07,장학/근로,장학,장학,장학,,,,
114079,2023학년도 후기(2024년 8월) 졸업예정자 전공명 선택 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114079&article.offset=200&articleLimit=10,2024.05.07,졸업,졸업,졸업,졸업,,,,
114040,[필독] 2024학년도 1학기 사회봉사활동 실적 등록 및 제출 관련 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114040&article.offset=200&articleLimit=10,2024.05.02,장학/근로,장학,장학,봉사,본문 장학,,,
114066,​2024년 8월 졸업대상자 학사학위취득유예 신청 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114066&article.offset=200&articleLimit=10,2024.05.02,졸업,졸업,졸업,졸업,,,,
114065,[필독] 5월 1일(수) 지도교수 상담 및 학부생 공지사항 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114065&article.offset=200&articleLimit=10,2024.04.29,학사,학사,학사,학사,,,,
114063,[교양교육원] 2024학년도 1학기 영어 말하기 대회 개최 &quot;English Speech Contest&quot;,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114063&article.offset=210&articleLimit=10,2024.04.26,대회/공모전,대회·공모전,대회·공모전,대회/공모전,,,,
114062,[특강] Apple Engineer 초청 특강,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114062&article.offset=210&articleLimit=10,2024.04.26,학생활동,학생활동,학생활동,교육,,,,
114054,[APL특강] 자기주권 크리에이터 이코노미의 미래,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114054&article.offset=210&articleLimit=10,2024.04.24,학생활동,학생활동,학생활동,교육,,,,
114041,[필독] 강의중간평가 시행 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114041&article.offset=210&articleLimit=10,2024.04.15,학사,학사,학사,학사,,,,
114051,[필독] 2024년 예비군 기본훈련 공고,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114051&article.offset=210&articleLimit=10,2024.04.08,기타,기타,기타,기타,,,,
114071,APL 초청 강연,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=114071&article.offset=210&articleLimit=10,2024.04.04,학생활동,학생활동,학생활동,교육,,,,
,,,,,,,,,,학사,"시험, 수강, 학적, 특정 과목 관련"
,,,,,,,,,,졸업,졸업을 앞둔 학생을 위한 공지
,,,,,,,,,,장학,"여러 장학금과 관련된 공지, (포상 포함)"
,,,,,,,,,,교육 -> 학생활동,"강연, 특강, 견학, 체험, 워크숍, 부트캠프 등의 교육 관련 프로그램"
,,,,,,,,,,취업/인턴,"채용, 직무 박람회, 인턴 등의 취업 관련 공지"
,카테고리      수량,,,,장학/근로,34,,,,대학원/연구,"연구생 모집, 연구 관련, 대학원(석박사) 관련"
,"J1: 장학        K1: =COUNTIF(F:F,""장학"")",31,,,학사,60,,,,봉사 -> 학생활동,각종 봉사 관련
,"J2: 학사        K2: =COUNTIF(F:F,""학사"")",55,,,졸업,37,,,,대회/공모전,각종 대회 관련
,"J3: 졸업        K3: =COUNTIF(F:F,""졸업"")",37,,,취업/인턴,13,,,,행정 -> 학사,"기자재, 공간 대여 및 반납, 행사, 기타 행정"
,"J4: 취업/인턴   K4: =COUNTIF(F:F,""취업/인턴"")",19,,,학생활동,39,,,,근로,"도우미, 교내근로 등"
,"J5: 학생활동    K5: =COUNTIF(F:F,""학생활동"")",54,,,대회/공모전,11,,,,기타,병무
,"J6: 대회/공모전 K6: =COUNTIF(F:F,""대회/공모전"")",4,,,기타,7,,,,,
,"J7: 기타        K7: =COUNTIF(F:F,""기타"")",10,,,,,,,,,
,,,,,,,,,,근로--봉사,
